filename,basename,toolid,findings,true_reentrancy,predicted_reentrancy
00_BasicCall_ree1.sol,00_BasicCall_ree1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
00_BasicCall_safe1.sol,00_BasicCall_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
00_BasicConst_ree1.sol,00_BasicConst_ree1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
00_BasicConst_safe1.sol,00_BasicConst_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
00_BasicCross_ree1.sol,00_BasicCross_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
00_BasicEmit_ree1.sol,00_BasicEmit_ree1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
00_BasicEmit_safe1.sol,00_BasicEmit_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
00_BasicError_ree1.sol,00_BasicError_ree1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
00_BasicError_safe1.sol,00_BasicError_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
00_BasicFold_ree1.sol,00_BasicFold_ree1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
00_BasicFold_ree2.sol,00_BasicFold_ree2.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
00_BasicFold_safe1.sol,00_BasicFold_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
00_BasicFold_safe2.sol,00_BasicFold_safe2.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
00_BasicNoCall_safe1.sol,00_BasicNoCall_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
00_BasicNoChecks_ree1.sol,00_BasicNoChecks_ree1.sol,ccc,{},True,False
00_BasicNoChecks_safe1.sol,00_BasicNoChecks_safe1.sol,ccc,{},False,False
00_BasicStaticcall_safe1.sol,00_BasicStaticcall_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
00_BasicUnchecked_ree1.sol,00_BasicUnchecked_ree1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
00_BasicUnchecked_safe1.sol,00_BasicUnchecked_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
01_SingleMutexFoldSem_ree1.sol,01_SingleMutexFoldSem_ree1.sol,ccc,{},True,False
01_SingleMutexFoldSem_safe1.sol,01_SingleMutexFoldSem_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
01_SingleMutexFold_ree1.sol,01_SingleMutexFold_ree1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
01_SingleMutexFold_ree2.sol,01_SingleMutexFold_ree2.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
01_SingleMutexFold_ree3.sol,01_SingleMutexFold_ree3.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
01_SingleMutexFold_safe1.sol,01_SingleMutexFold_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
01_SingleMutex_ree1.sol,01_SingleMutex_ree1.sol,ccc,{},True,False
01_SingleMutex_ree2.sol,01_SingleMutex_ree2.sol,ccc,{},True,False
01_SingleMutex_safe1.sol,01_SingleMutex_safe1.sol,ccc,{},False,False
01_SingleMutex_safe2.sol,01_SingleMutex_safe2.sol,ccc,{},False,False
02_CrossMutexSem_ree1.sol,02_CrossMutexSem_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
02_CrossMutexSem_safe1.sol,02_CrossMutexSem_safe1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
02_CrossMutexUnchecked_ree1.sol,02_CrossMutexUnchecked_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
02_CrossMutexUnchecked_safe1.sol,02_CrossMutexUnchecked_safe1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
02_CrossMutex_ree1.sol,02_CrossMutex_ree1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
02_CrossMutex_ree2.sol,02_CrossMutex_ree2.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",True,False
02_CrossMutex_safe1.sol,02_CrossMutex_safe1.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
02_CrossMutex_safe2.sol,02_CrossMutex_safe2.sol,ccc,"{Message_padding_vulnerability_found_at_ether_transfer,Result_of_expression_can_be_over_or_under_flown_by_external_entity}",False,False
03_SingleModFoldSem_ree1.sol,03_SingleModFoldSem_ree1.sol,ccc,{},True,False
03_SingleModFoldSem_safe1.sol,03_SingleModFoldSem_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
03_SingleModFold_ree1.sol,03_SingleModFold_ree1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
03_SingleModFold_ree2.sol,03_SingleModFold_ree2.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
03_SingleModFold_ree3.sol,03_SingleModFold_ree3.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
03_SingleModFold_safe1.sol,03_SingleModFold_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
03_SingleModSem_ree1.sol,03_SingleModSem_ree1.sol,ccc,{},True,False
03_SingleModSem_safe1.sol,03_SingleModSem_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
03_SingleMod_ree1.sol,03_SingleMod_ree1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
03_SingleMod_ree2.sol,03_SingleMod_ree2.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
03_SingleMod_ree3.sol,03_SingleMod_ree3.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},True,False
03_SingleMod_safe1.sol,03_SingleMod_safe1.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
03_SingleMod_safe2.sol,03_SingleMod_safe2.sol,ccc,{Result_of_expression_can_be_over_or_under_flown_by_external_entity},False,False
