filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
tests/handcrafted-raw/00_BasicCall_ree1.sol,00_BasicCall_ree1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748355877.0645885,693.1057267189026,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicCall_safe1.sol,00_BasicCall_safe1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748364818.8659637,693.7098364830017,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicConst_ree1.sol,00_BasicConst_ree1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748365417.4020238,693.8272199630737,0,"Reentrancy,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicConst_safe1.sol,00_BasicConst_safe1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748356251.5087543,695.2740025520325,0,"Reentrancy,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicCross_ree1.sol,00_BasicCross_ree1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748359169.7785664,378.0422625541687,1,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,"AttributeError exception is catched,EXIT_CODE_1,Validation error: Sender account balance cannot afford txn (ignoring for now)",exception (AttributeError: 'NoneType' object has no attribute 'as_long')
tests/handcrafted-raw/00_BasicEmit_ree1.sol,00_BasicEmit_ree1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748364908.3032446,693.9828577041626,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicEmit_safe1.sol,00_BasicEmit_safe1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748363696.6569598,693.5720043182373,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicError_ree1.sol,00_BasicError_ree1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748363846.0485792,694.836451292038,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicError_safe1.sol,00_BasicError_safe1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748360215.537302,693.603661775589,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicFold_ree1.sol,00_BasicFold_ree1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748358214.4713655,693.8759262561798,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicFold_ree2.sol,00_BasicFold_ree2.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748365606.524714,694.8414025306702,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicFold_safe1.sol,00_BasicFold_safe1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748364710.0551827,15.337095737457275,1,"Reentrancy,Transaction_Order_Dependency",,"AttributeError exception is catched,EXIT_CODE_1,Validation error: Sender account balance cannot afford txn (ignoring for now)",exception (AttributeError: 'NoneType' object has no attribute 'as_long')
tests/handcrafted-raw/00_BasicFold_safe2.sol,00_BasicFold_safe2.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748362823.8277266,693.837393283844,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicNoCall_safe1.sol,00_BasicNoCall_safe1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748354302.8038654,692.6997253894806,0,Locking_Ether,,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicNoChecks_ree1.sol,00_BasicNoChecks_ree1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748358737.8224108,693.7180783748627,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicNoChecks_safe1.sol,00_BasicNoChecks_safe1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748360293.1204786,693.4301002025604,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicStaticcall_safe1.sol,00_BasicStaticcall_safe1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748364770.8851733,692.925032377243,0,Locking_Ether,,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicUnchecked_ree1.sol,00_BasicUnchecked_ree1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748367030.628374,694.315313577652,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/00_BasicUnchecked_safe1.sol,00_BasicUnchecked_safe1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748361569.4587333,693.6439726352692,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/01_SingleMutexFoldSem_ree1.sol,01_SingleMutexFoldSem_ree1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748355185.633703,693.9345400333405,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/01_SingleMutexFoldSem_safe1.sol,01_SingleMutexFoldSem_safe1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748357297.9189017,693.7642676830292,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/01_SingleMutexFold_ree1.sol,01_SingleMutexFold_ree1.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748367558.4318042,694.4528713226318,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/01_SingleMutexFold_ree2.sol,01_SingleMutexFold_ree2.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748366816.0395982,693.8502275943756,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
tests/handcrafted-raw/01_SingleMutexFold_ree3.sol,01_SingleMutexFold_ree3.sol,confuzzius,solidity,2022/12/31,20250527_1335,1748367663.0861948,692.653879404068,0,"Reentrancy,Transaction_Order_Dependency,Unhandled_Exception",,Validation error: Sender account balance cannot afford txn (ignoring for now),
